ISO3,total_req_yr,total_funded_yr,In Need_2024_AGR,In Need_2024_ALL,In Need_2024_CCM,In Need_2024_CSS,In Need_2024_EDU,In Need_2024_ERY,In Need_2024_FSC,In Need_2024_HEA,In Need_2024_LOG,In Need_2024_MS,In Need_2024_NUT,In Need_2024_PRO,In Need_2024_PRO-CPN,In Need_2024_PRO-GBV,In Need_2024_PRO-HLP,In Need_2024_PRO-MIN,In Need_2024_SHL,In Need_2024_WSH,Targeted_2024_AGR,Targeted_2024_ALL,Targeted_2024_CCM,Targeted_2024_CSS,Targeted_2024_EDU,Targeted_2024_ERY,Targeted_2024_FSC,Targeted_2024_HEA,Targeted_2024_LOG,Targeted_2024_MS,Targeted_2024_NUT,Targeted_2024_PRO,Targeted_2024_PRO-CPN,Targeted_2024_PRO-GBV,Targeted_2024_PRO-HLP,Targeted_2024_PRO-MIN,Targeted_2024_SHL,Targeted_2024_WSH,Reached_2024_AGR,Reached_2024_ALL,Reached_2024_CCM,Reached_2024_CSS,Reached_2024_EDU,Reached_2024_ERY,Reached_2024_FSC,Reached_2024_HEA,Reached_2024_LOG,Reached_2024_MS,Reached_2024_NUT,Reached_2024_PRO,Reached_2024_PRO-CPN,Reached_2024_PRO-GBV,Reached_2024_PRO-HLP,Reached_2024_PRO-MIN,Reached_2024_SHL,Reached_2024_WSH,In Need_2025_ALL,In Need_2025_CCM,In Need_2025_CSS,In Need_2025_EDU,In Need_2025_ERY,In Need_2025_FSC,In Need_2025_HEA,In Need_2025_LOG,In Need_2025_MPC,In Need_2025_MS,In Need_2025_NUT,In Need_2025_PRO,In Need_2025_PRO-CPN,In Need_2025_PRO-GBV,In Need_2025_PRO-HLP,In Need_2025_PRO-MIN,In Need_2025_SHL,In Need_2025_TEL,In Need_2025_WSH,Targeted_2025_ALL,Targeted_2025_CCM,Targeted_2025_CSS,Targeted_2025_EDU,Targeted_2025_ERY,Targeted_2025_FSC,Targeted_2025_HEA,Targeted_2025_LOG,Targeted_2025_MPC,Targeted_2025_MS,Targeted_2025_NUT,Targeted_2025_PRO,Targeted_2025_PRO-CPN,Targeted_2025_PRO-GBV,Targeted_2025_PRO-HLP,Targeted_2025_PRO-MIN,Targeted_2025_SHL,Targeted_2025_TEL,Targeted_2025_WSH,Reached_2025_ALL,Reached_2025_CCM,Reached_2025_CSS,Reached_2025_EDU,Reached_2025_ERY,Reached_2025_FSC,Reached_2025_HEA,Reached_2025_LOG,Reached_2025_MPC,Reached_2025_MS,Reached_2025_NUT,Reached_2025_PRO,Reached_2025_PRO-CPN,Reached_2025_PRO-GBV,Reached_2025_PRO-HLP,Reached_2025_PRO-MIN,Reached_2025_SHL,Reached_2025_TEL,Reached_2025_WSH,pooled_budget,pooled_dependency,combined_social_need,neglect_index,health_to_food_need_ratio,health_budget_per_person
CZE,41124168.0,1949544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
CIV,,26685786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
COD,2538016151.0,669859519.0,,185404631.0,2284506.0,0.0,4715979.30904508,,76193688.0,58850789.0,0.0,5685627.0,25256734.0,46178766.0,11962851.0,23242509.0,5982237.0,3721347.0,22527984.3,20601213.0,,63525961.0,1462083.0,0.0,1938534.58326724,,21666980.0,26106554.7525,40000.0,3039767.0,9522597.0,16664985.0,5586813.0,3544170.0,2153811.0,1853592.0,8320584.655,12975873.0,,7100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148692621.075534,9002263.0,,13081826.0,,123277746.0,90549744.0,,0.0,4734456.0,45305211.0,90093444.0,28046536.0,43496332.0,18181132.0,16939775.0,28248159.0,,43516525.0,68442038.0,6751719.0,,4603154.0,,51245593.0,42005691.19916465,,15059323.0,4006304.0,20489532.0,34016245.0,13203183.0,7699973.0,4953711.0,8662518.0,12584874.0,,34751642.0,9100000.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43351831.0,0.06471779495604958,154070015.30904508,0.2300034719354964,0.734518160848608,7.397696360160926
DJI,11691000.0,9514282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
DOM,10727500.0,1663128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
ECU,229690772.0,16691504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
EGY,237689497.0,6728121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
SLV,66923449.0,18644495.0,,1119198.0,16023.0,,472501.0,,942108.0,288528.0,,,227102.0,754666.0,180672.0,676343.0,,,317161.0,807903.0,,506214.0,14170.0,,57000.0,,235527.0,110072.0,,,70000.0,341763.0,84611.0,115000.0,,,6200.0,170588.0,,86500.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,4143280.0,147184.0,,939273.0,,3702090.0,1019245.0,,,,624881.0,2233699.0,536382.0,3156402.0,,,1565749.0,,2972402.0,2062032.0,75829.0,,140890.0,,425898.0,430797.0,,,,187500.0,641370.0,209301.0,525048.0,,,32641.0,,650541.0,41000.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,4400139.0,0.2360020351314404,0.27531603085931705,18.292438724311893
ERI,,4361365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
ETH,19002155.0,2767588.0,98045476.4284213,21360484.0,13227168.799877994,0.0,75173872.6708,,114137452.40094708,117801547.13643986,,0.0,35705061.357233904,148792635.05136135,54538516.82569823,51645415.87178445,31886928.594131857,54291028.83080832,26263422.524126306,110397169.8159417,59435309.6266352,15467955.0,7924635.474030731,0.0,21232619.91248469,,74977114.7873118,48558854.567116484,,1400000.0,24936075.11444415,55161902.98140475,17331074.469985962,17469163.008757744,6375082.91839123,5642502.237583035,23767845.382994425,63945226.977265656,0.0,12800000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44500000.0,16.078982854384396,223966507.72216135,80.92477160523522,,
FJI,,1701026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
GMB,,9591903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
GHA,,12906049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
GRC,,2013823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
GRD,,97658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
